Employer,total_approvals,states,cities,zip_codes
0 NORTH AVE WAKEFIELD LLC,1,MA,WAKEFIELD,1880.0
01INTERACTIVE INC,3,CA,CITY OF INDUSTRY,91745.0
02908 HOLDCO LLC,1,RI,PROVIDENCE,2908.0
05MEDIA INC,1,CA,SAN DIEGO,92130.0
0965688 BC LTD DBA PROCOGIA,5,WA,BELLEVUE,98006.0
1 800 FLOWERS COM INC,1,NY,CARLE PLACE,11514.0
1 A LIFESAFER INC,1,OH,CINCINNATI,45241.0
1 NATUARL WAY LLC,1,OH,MAUMEE,43537.0
1 POINT SYSTEM LLC,1,SC,FORT MILL,29708.0
"1 POINT SYSTEM, LLC.",1,SC,FORT MILL,29708.0
1 STOP BUSINESS SERVICES INC,1,CA,MONTEREY PARK,91755.0
"1 WORLD EDUCATION, INC.",1,CA,LOS ANGELES,90056.0
10 BITS LLC,40,TX,IRVING,75063.0
10 FOLD COMMUNICATIONS INC,1,CA,WALNUT CREEK,94596.0
10 SOUTH STREET HOTEL OPERATOR LLC,1,NY,NEW YORK,10004.0
100 CHIRO HEIM LLC DBA 100 CHIROPRACTIC,1,AZ,MESA,85205.0
100MS INC,1,CA,NEWARK,94560.0
101 SMOKE SHOP 3 LLC,1,FL,GAINESVILLE,32606.0
101 THERAPY STAFFING INC,1,CA,SAN JOSE,95113.0
1010DATA SERVICES LLC,3,NY,NEW YORK,10017.0
1047 GAMES INC DBA SPLITGATE,1,NV,ZEPHYR COVE,89448.0
108 INFO SYSTEM LLC,4,VA,RESTON,20190.0
10BITS LLC,41,TX,DALLAS,75287.0
"10TH LANE PARTNERS, LP",1,NY,NEW YORK,10165.0
10X GENOMICS INC,34,CA,PLEASANTON,94588.0
11 HEALTH AND TECHNOLOGIES INC,1,CA,IRVINE,92618.0
110 HOLDINGS DBA AS LAUNCH CONSULTING,1,WA,BELLEVUE,98005.0
110 HOLDINGS LLC,2,WA,BELLEVUE,98005.0
12 15 MOLECULAR DIAGNOSTICS INC,1,CT,FAIRFIELD,6825.0
12 INTERACTIVE LLC,1,IL,CHICAGO,60654.0
12-15 MOLECULAR DIAGNOSTICS INC,2,CT,FAIRFIELD,6825.0
120 DEGREEZ ENGINEERING,1,CA,EL SEGUNDO,90245.0
1211 WPR MEDICAL SERVICES PC,1,NY,BRONX,10472.0
1218 HR SOLUTIONS LLC,1,TX,DALLAS,75204.0
1220 COLLINS AVENUE INC,1,FL,MIAMI BEACH,33139.0
123STORES INC,1,NY,LONG IS CITY,11101.0
128 TECHNOLOGY INC,1,MA,BURLINGTON,1803.0
12TH WONDER LLC,3,CA,DUBLIN,94568.0
13 RATTLES INC,2,NY,NEW YORK,10013.0
1325 FIFTH AVE DRUGS INC DBA OCEAN,1,NY,BROOKLYN,11224.0
14 STREET MEDICAL PC,2,NY,NEW YORK,10003.0
14 W ADMINISTRATIVE SERVICES LLC,1,MD,BALTIMORE,21201.0
1419 WK OWNER LLC,3,NY,NEW YORK,10019.0
14W ADMINISTRATIVE SVCS LLC,1,MD,BALTIMORE,21201.0
153 LLC DBA SU53,1,DE,WILMINGTON,19803.0
1540 VISION DRIVE LLC DBA MOUNDVIEW DAIRY,1,WI,PLATTEVILLE,53818.0
159 HUNTINGTON HOLDINGS INC,1,NY,NEW YORK,10002.0
15FIVE INC,1,CA,SAN FRANCISCO,94123.0
161 DEV INC,2,NJ,BRIDGEWATER,8807.0
1661 INC D/B/A GOAT,7,CA,LOS ANGELES,90018.0
1661 INC DBA GOAT,1,CA,LOS ANGELES,90018.0
18 GRAMS COFFEE LAB LLC,1,VA,CULPEPER,22701.0
1855 INC,2,MA,BOSTON,2116.0
1898 CAPITAL MANAGEMENT LLC,2,TX,MISSOURI CITY,77459.0
1910 GENETICS INC,1,MA,BOSTON,2210.0
1A LIFESAFER INC,1,OH,CINCINNATI,45241.0
1A1 INNOVATIONS LLC,1,FL,MADEIRA BEACH,33708.0
1BYONE PRODUCTS INC,2,CA,ONTARIO,91761.0
1LIFE HEALTHCARE INC,2,CA,SAN FRANCISCO,94111.0
1MPACT FIRST LLC,1,SC,NORTH AUGUSTA,29860.0
1NTEGER LLC,1,CA,SANTA MONICA,90403.0
1NTEGER LLC D/B/A KHARON,2,CA,SANTA MONICA,90403.0
1POINT3ACRES LLC,1,NV,LAS VEGAS,89109.0
"1POINT3ACRES, LLC",1,WA,BELLEVUE,98005.0
1ST CHOICE DENTAL,1,IL,BRIDGEVIEW,60455.0
1ST GLOBAL GRAPHICS INC,2,CA,IRWINDALE,91706.0
1ST RANKING TECHNOLOGIES,8,TX,LEWISVILLE,75067.0
1ST RELIANT HOME LOANS INC,2,CA,TUSTIN,92780.0
1ST STREET FOUNDATION INC,1,NY,BROOKLYN,11201.0
1STDIBS COM INC,2,NY,NEW YORK,10003.0
1STEP AI LLC,1,WA,SEATTLE,98109.0
1TO1 THERAPIES INC,1,CA,TORRANCE,90505.0
1UPHEALTH INC,4,MA,BOSTON,2108.0
2 CUBE GLOBAL INC,1,CA,ONTARIO,91761.0
2 SAAB CONSTRUCTION INC,2,NY,BROOKLYN,11235.0
2 SWEET OF YONKERS INC,1,NY,PLAINVIEW,11803.0
2 VILLAS LLC,1,FL,MIAMI,33131.0
2 X 4 INC,1,NY,NEW YORK,10014.0
20 20 FINANCIAL CONSULTING INC DBA 20 20 TAX RESOLUTION INC,1,CO,BROOMFIELD,80021.0
200 OK LLC D/B/A PROFITWELL,1,MA,BOSTON,2111.0
